Feldstaerke,count,mean,std,min,25%,50%,75%,max
1.5 Tesla,70.0,2.1900659523809525,2.8326362556912685,0.07560000000000001,0.6292625,1.261275,2.5322666666666667,14.8104
3.0 Tesla,70.0,2.219419047619047,2.391837743283506,0.1403,0.684375,1.3574166666666667,2.7551749999999995,13.845799999999999
