Objekt,count,mean,std,min,25%,50%,75%,max
Phantom,70.0,3.058912857142857,3.1298775912448886,0.3303,1.124675,1.8676166666666667,3.541375,14.8104
Proband,70.0,1.3505721428571427,1.5711961143293818,0.07560000000000001,0.4111,0.758475,1.3908375000000002,7.6518
