Sample_ID,Feldstaerke,Objekt,Traeger,Mode,Farbe_ID,Replikat,Kategorie_Pigment,Hersteller,Produktname,Inhaltsstoffe
15T_phantom_mode4_color1_lashes_rep3,1.5 Tesla,Phantom,Wimpern,T2-TIRM,The Colossal Go Extreme Waterproof Mascara,3,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode5_color1_lashes_rep1,1.5 Tesla,Phantom,Wimpern,PD-TSE Dixon,The Colossal Go Extreme Waterproof Mascara,1,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode5_color1_lashes_rep2,1.5 Tesla,Phantom,Wimpern,PD-TSE Dixon,The Colossal Go Extreme Waterproof Mascara,2,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode5_color1_lashes_rep3,1.5 Tesla,Phantom,Wimpern,PD-TSE Dixon,The Colossal Go Extreme Waterproof Mascara,3,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode6_color1_lashes_rep1,1.5 Tesla,Phantom,Wimpern,T1-VIBE,The Colossal Go Extreme Waterproof Mascara,1,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode6_color1_lashes_rep2,1.5 Tesla,Phantom,Wimpern,T1-VIBE,The Colossal Go Extreme Waterproof Mascara,2,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode6_color1_lashes_rep3,1.5 Tesla,Phantom,Wimpern,T1-VIBE,The Colossal Go Extreme Waterproof Mascara,3,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode7_color1_lashes_rep1,1.5 Tesla,Phantom,Wimpern,T1-TSE,The Colossal Go Extreme Waterproof Mascara,1,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode7_color1_lashes_rep2,1.5 Tesla,Phantom,Wimpern,T1-TSE,The Colossal Go Extreme Waterproof Mascara,2,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode7_color1_lashes_rep3,1.5 Tesla,Phantom,Wimpern,T1-TSE,The Colossal Go Extreme Waterproof Mascara,3,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_proband_mode1_color1_lashes_rep1,1.5 Tesla,Proband,Wimpern,T2-TSE,The Colossal Go Extreme Waterproof Mascara,1,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_proband_mode1_color1_lashes_rep2,1.5 Tesla,Proband,Wimpern,T2-TSE,The Colossal Go Extreme Waterproof Mascara,2,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_proband_mode2_color1_lashes_rep1,1.5 Tesla,Proband,Wimpern,SWI,The Colossal Go Extreme Waterproof Mascara,1,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_proband_mode2_color1_lashes_rep2,1.5 Tesla,Proband,Wimpern,SWI,The Colossal Go Extreme Waterproof Mascara,2,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_proband_mode3_color1_lashes_rep1,1.5 Tesla,Proband,Wimpern,T1-FLD2,The Colossal Go Extreme Waterproof Mascara,1,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_proband_mode3_color1_lashes_rep2,1.5 Tesla,Proband,Wimpern,T1-FLD2,The Colossal Go Extreme Waterproof Mascara,2,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_proband_mode4_color1_lashes_rep1,1.5 Tesla,Proband,Wimpern,T2-TIRM,The Colossal Go Extreme Waterproof Mascara,1,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_proband_mode4_color1_lashes_rep2,1.5 Tesla,Proband,Wimpern,T2-TIRM,The Colossal Go Extreme Waterproof Mascara,2,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_proband_mode5_color1_lashes_rep1,1.5 Tesla,Proband,Wimpern,PD-TSE Dixon,The Colossal Go Extreme Waterproof Mascara,1,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_proband_mode5_color1_lashes_rep2,1.5 Tesla,Proband,Wimpern,PD-TSE Dixon,The Colossal Go Extreme Waterproof Mascara,2,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_proband_mode6_color1_lashes_rep1,1.5 Tesla,Proband,Wimpern,T1-VIBE,The Colossal Go Extreme Waterproof Mascara,1,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_proband_mode6_color1_lashes_rep2,1.5 Tesla,Proband,Wimpern,T1-VIBE,The Colossal Go Extreme Waterproof Mascara,2,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_proband_mode7_color1_lashes_rep1,1.5 Tesla,Proband,Wimpern,T1-TSE,The Colossal Go Extreme Waterproof Mascara,1,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_proband_mode7_color1_lashes_rep2,1.5 Tesla,Proband,Wimpern,T1-TSE,The Colossal Go Extreme Waterproof Mascara,2,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode1_color1_kunsthaut_rep1,1.5 Tesla,Phantom,Kunsthaut,T2-TSE,The Colossal Go Extreme Waterproof Mascara,1,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode1_color1_kunsthaut_rep2,1.5 Tesla,Phantom,Kunsthaut,T2-TSE,The Colossal Go Extreme Waterproof Mascara,2,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode1_color1_kunsthaut_rep3,1.5 Tesla,Phantom,Kunsthaut,T2-TSE,The Colossal Go Extreme Waterproof Mascara,3,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode2_color1_kunsthaut_rep1,1.5 Tesla,Phantom,Kunsthaut,SWI,The Colossal Go Extreme Waterproof Mascara,1,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode2_color1_kunsthaut_rep2,1.5 Tesla,Phantom,Kunsthaut,SWI,The Colossal Go Extreme Waterproof Mascara,2,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode2_color1_kunsthaut_rep3,1.5 Tesla,Phantom,Kunsthaut,SWI,The Colossal Go Extreme Waterproof Mascara,3,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode3_color1_kunsthaut_rep1,1.5 Tesla,Phantom,Kunsthaut,T1-FLD2,The Colossal Go Extreme Waterproof Mascara,1,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode3_color1_kunsthaut_rep2,1.5 Tesla,Phantom,Kunsthaut,T1-FLD2,The Colossal Go Extreme Waterproof Mascara,2,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode3_color1_kunsthaut_rep3,1.5 Tesla,Phantom,Kunsthaut,T1-FLD2,The Colossal Go Extreme Waterproof Mascara,3,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode4_color1_kunsthaut_rep1,1.5 Tesla,Phantom,Kunsthaut,T2-TIRM,The Colossal Go Extreme Waterproof Mascara,1,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode4_color1_kunsthaut_rep2,1.5 Tesla,Phantom,Kunsthaut,T2-TIRM,The Colossal Go Extreme Waterproof Mascara,2,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode4_color1_kunsthaut_rep3,1.5 Tesla,Phantom,Kunsthaut,T2-TIRM,The Colossal Go Extreme Waterproof Mascara,3,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode5_color1_kunsthaut_rep1,1.5 Tesla,Phantom,Kunsthaut,PD-TSE Dixon,The Colossal Go Extreme Waterproof Mascara,1,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode5_color1_kunsthaut_rep2,1.5 Tesla,Phantom,Kunsthaut,PD-TSE Dixon,The Colossal Go Extreme Waterproof Mascara,2,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode5_color1_kunsthaut_rep3,1.5 Tesla,Phantom,Kunsthaut,PD-TSE Dixon,The Colossal Go Extreme Waterproof Mascara,3,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode6_color1_kunsthaut_rep1,1.5 Tesla,Phantom,Kunsthaut,T1-VIBE,The Colossal Go Extreme Waterproof Mascara,1,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode6_color1_kunsthaut_rep2,1.5 Tesla,Phantom,Kunsthaut,T1-VIBE,The Colossal Go Extreme Waterproof Mascara,2,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode6_color1_kunsthaut_rep3,1.5 Tesla,Phantom,Kunsthaut,T1-VIBE,The Colossal Go Extreme Waterproof Mascara,3,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode7_color1_kunsthaut_rep1,1.5 Tesla,Phantom,Kunsthaut,T1-TSE,The Colossal Go Extreme Waterproof Mascara,1,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode7_color1_kunsthaut_rep2,1.5 Tesla,Phantom,Kunsthaut,T1-TSE,The Colossal Go Extreme Waterproof Mascara,2,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode7_color1_kunsthaut_rep3,1.5 Tesla,Phantom,Kunsthaut,T1-TSE,The Colossal Go Extreme Waterproof Mascara,3,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_proband_mode1_color1_kunsthaut_rep1,1.5 Tesla,Proband,Kunsthaut,T2-TSE,The Colossal Go Extreme Waterproof Mascara,1,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_proband_mode1_color1_kunsthaut_rep2,1.5 Tesla,Proband,Kunsthaut,T2-TSE,The Colossal Go Extreme Waterproof Mascara,2,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_proband_mode2_color1_kunsthaut_rep1,1.5 Tesla,Proband,Kunsthaut,SWI,The Colossal Go Extreme Waterproof Mascara,1,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
